name,task,channel,avg,slope,variance,skewness,kurtosis,max,min,sum
name_3,B,7,0.003352417,4.23E-06,1.37E-06,-1.042646503,4.173101351,0.005095341,-0.000205151,1.703027622
name_3,B,8,0.002670656,3.89E-06,1.01E-06,-1.18804245,3.915063792,0.004077525,-1.53E-05,1.356693238
name_3,B,9,0.002516649,4.90E-06,8.07E-07,-0.970405622,3.811842448,0.003707825,-4.79E-05,1.27845762
name_3,B,10,0.003276392,4.00E-06,1.64E-06,-0.518863057,3.344200952,0.005440679,-0.000163621,1.664407161
name_3,B,11,0.003132624,3.96E-06,1.31E-06,-0.823171648,3.696904255,0.005012763,-0.000163897,1.591373215
name_3,B,12,0.002210582,3.35E-06,7.11E-07,-0.705833009,3.063975314,0.003656306,-0.000205317,1.122975417
name_3,B,13,0.002571013,2.37E-06,1.03E-06,-0.220394197,3.202443692,0.004497246,-0.000232579,1.306074642
name_3,B,14,0.003010662,4.80E-06,1.17E-06,-1.234506583,3.678046503,0.004417486,-0.000165262,1.529416297
name_3,B,15,0.006194755,1.20E-05,7.50E-06,-0.803157553,2.555670251,0.010195124,-0.00053553,3.146935352
name_3,A,1,0.003629089,-1.86E-06,3.92E-06,-0.094297274,2.495759251,0.007115599,-0.001051658,1.84357742
name_3,A,2,0.002994859,2.31E-06,3.74E-06,0.202769429,1.870400663,0.006741762,-0.001248508,1.521388611
name_3,A,3,0.000205433,2.56E-06,1.86E-06,0.179044993,1.77698665,0.002714383,-0.002027237,0.10436001
name_3,A,4,0.000269537,1.09E-06,1.09E-06,0.16911838,2.170603119,0.002303862,-0.001553153,0.136924963
name_3,A,5,0.000260284,-1.40E-07,8.15E-07,-0.142312765,2.030991602,0.001935868,-0.001381282,0.132224091
name_3,A,6,0.000388398,-7.86E-08,8.63E-07,0.215107415,1.829428471,0.002073909,-0.001018031,0.197306017
name_3,A,7,0.000559118,1.71E-06,8.45E-07,0.943804981,2.827039059,0.002719526,-0.000585929,0.284032159
name_3,A,8,0.000373204,1.68E-06,5.35E-07,0.116733898,1.670875037,0.00160669,-0.000780619,0.189587829
name_3,A,9,-2.96E-05,-1.72E-06,4.90E-07,0.17996307,2.38414097,0.001529987,-0.001359074,-0.015060494
name_3,A,10,6.94E-05,1.14E-07,5.13E-07,0.407459323,2.022010151,0.001537749,-0.000950612,0.035268865
name_3,A,11,-0.000170016,-4.78E-07,7.09E-07,0.235113402,2.020317672,0.001443601,-0.001577798,-0.08636805
name_3,A,12,0.000456264,3.93E-06,1.29E-06,0.485234213,2.000551962,0.002730689,-0.00124454,0.23178213
name_3,A,13,-0.000212581,-4.81E-08,8.60E-07,0.254977892,1.864665849,0.001589763,-0.001688142,-0.107991192
